date,Zhanbi,Changci,paipianzhanbi,Changjun,Shangzuolv,BOXOFFICE,T,U
01/29/2025,0.269,117978,0.232,80.4,0.581,48747.6,2.557257326007326,58.587225274725284
01/30/2025,0.354,123894,0.252,74.9,0.533,48034.18,3.270169413919414,74.84935897435898
01/31/2025,0.468,151179,0.309,79.2,0.562,61915.02,3.10746336996337,78.9187271062271
02/01/2025,0.573,183711,0.382,77.4,0.536,73156.38,2.68246336996337,74.63446821036108
02/02/2025,0.636,206814,0.435,76.9,0.527,81277.31,2.9001373626373623,61.889075091575094
02/03/2025,0.683,222314,0.475,75,0.512,84362.81,1.6350366300366306,54.89542451596022
02/04/2025,0.709,228732,0.497,75.7,0.519,86670.81,1.1624378597592886,50.47896466278819
02/05/2025,0.746,220755,0.508,61.4,0.42,64954.74,1.3721315449256628,52.42835884353742
02/06/2025,0.771,223113,0.521,55.2,0.377,58597.96,1.6968635531135523,49.35897435897436
02/07/2025,0.793,227400,0.535,50.1,0.344,54170.05,-1.049931319,41.46268315018315
02/08/2025,0.809,234337,0.551,55.8,0.385,62008.55,-1.142376374,44.03821624803767
02/09/2025,0.82,242638,0.564,66.2,0.461,76153.14,-0.064602957,49.18372252747253
02/10/2025,0.829,238218,0.575,43.2,0.299,48167,2.557257326007326,59.88289835164836
02/11/2025,0.84,240736,0.583,42.9,0.299,48214.54,4.815911172161171,57.9271978021978
02/12/2025,0.85,245274,0.594,46.6,0.327,53341.05,4.771886446886447,51.73798076923077
02/13/2025,0.848,240850,0.595,32.2,0.226,36035.46,4.325663919413919,56.291666666666664
02/14/2025,0.786,233056,0.52,53.5,0.371,58111.08,5.502632783882785,59.642628205128204
02/15/2025,0.859,245521,0.554,69.5,0.486,78788.1,7.343154761904761,55.96026992133549
02/16/2025,0.868,256005,0.603,51.9,0.368,61417.3,7.095309403711043,51.21577380952381
02/17/2025,0.854,231345,0.598,18.3,0.126,19393.37,5.58999542124542,54.7451101357785
02/18/2025,0.83,225359,0.586,16.2,0.113,16648.61,5.061759118541033,59.37488553113553
02/19/2025,0.817,222811,0.584,14.4,0.1,14577.26,4.915178571428573,65.61252289377289
02/20/2025,0.803,220485,0.58,12.8,0.089,12831.51,4.4559981684981675,68.09993131868131
02/21/2025,0.838,224308,0.57,22.8,0.16,22884.13,3.5374999999999996,68.01717032967034
02/22/2025,0.869,243225,0.572,48.1,0.34,52102.27,3.14253663003663,61.15427132391417
02/23/2025,0.856,244810,0.594,32.1,0.228,35181.46,2.8885138670852957,53.95166143380429
02/24/2025,0.767,213620,0.57,7.7,0.053,7450.84,4.158974358974358,54.06810897435898
02/25/2025,0.712,209162,0.564,6.5,0.045,6132.19,6.3053342490842486,55.293661695447405
02/26/2025,0.699,204830,0.559,5.8,0.04,5329.79,7.028751308215596,59.99576465201465
02/27/2025,0.677,203115,0.553,5.3,0.037,4888.29,10.059890109890109,62.59334450859875
02/28/2025,0.749,204763,0.536,10.7,0.075,9661.08,12.488296237660647,64.37771374966496
